name,type,vars,in_expr,out_expr,in_parity,fanin2out
Add,c,n,2*n,n+1,e,1
Sub,c,n,2*n,n+1,e,1
And,c,n,2*n,n,e,1
Mul,c,n,2*n,2*n,e,1
Div,c,n,2*n,n,e,1
Mod,c,n,2*n,n,e,1
Accum,c,n,n,n,x,1
ShiftLeft,c,n;b,n,n+b,x,0
ShiftRight,c,n;b,n,n,x,1
SignExtendDouble,c,n,n,2*n,x,0
Mux2,mx,n,2*n+1,n,o,1
Mux4,mx,n,4*n+2,n,e,1
Mux8,mx,n,8*n+3,n,o,1
MuxPowerOf2,mx,n;b, 2^b * n + b, n, x, 1
ReduceAndMux,mx,n;b,2*n+2*b,n,e,1
ReduceOrMux,mx,n;b,2*n+2*b,n,e,1 
ReduceXorMux,mx,n;b,2*n+2*b,n,e,1
CompareMux,mx,n;b,2*n+2*b,n,e,1
ByteSelector,mx,n;a,n+a,n,x,1
Reg,m,n,n,n,x,1
RegE,m,n,n+1,n,x,1
RegFile1R1W,m,n;a,n+a,n,x,1
RegFile2R1W,m,n;a,n+2*a,2*n,x,1
ResetShiftRegister,m,n,n+1,n,x,1
ShiftRegister,m,n,n,n,x,1
Stack,m,n;b,n+3,n,x,1